Wban Number, YearMonthDay, Max Temp, Min Temp, Avg Temp, Dep from Normal, Avg Dew Pt, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, Significant Weather, Snow/Ice Depth, Snow/Ice Water Equiv, Precipitation Snowfall, Precipitation Water Equiv, Pressue Avg Station, Pressure Avg Sea Level, Wind Speed, Wind Direction, Wind Avg Speed, Max 5 sec speed, Max 5 sec Dir, Max 2 min speed, Max 2 min Dir
23232,19960703,94,56,   75,  00,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 16,2.3
23232,19960704,91,57,   74, -01,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 15,1.8
23232,19960705,96,56,   76,  01,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 15,3.2
23232,19960706,102,60,   81,  06,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 12,2.3
23232,19960707,96,59,   78,  03,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 16,1.8
23232,19960708,93,57,   75,  00,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 14,1.8
23232,19960709,99,59,   79,  03,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 15,1.8
23232,19960710,99,61,   80,  04,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 18,2.3
23232,19960711,96,61,   79,  03,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 21,1.8
23232,19960712,94,60,   77,  01,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 13,1.8
23232,19960713,101,60,   81,  05,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 14,1.8
23232,19960714,93,61,   77,  01,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 14,2.3
23232,19960715,87,56,   72, -04,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 17,1.8
23232,19960716,85,56,   71, -05,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 16,1.8
23232,19960717,85,57,   71, -05,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 23,1.8
23232,19960718,86,55,   71, -05,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 14,2.7
23232,19960719,94,55,   75, -01,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 17,3.2
23232,19960720,100,55,   78,  02,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 15,3.2
23232,19960721,104,62,   83,  07,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 13,2.3
23232,19960722,100,62,   81,  05,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 12,2.3
23232,19960723,98,63,   81,  05,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 13,1.8
23232,19960724,98,58,   78,  02,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 13,2.3
23232,19960725,104,60,   82,  06,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-,  9,2.3
23232,19960726,93,60,   77,  01,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 13,1.8
23232,19960727,94,65,   80,  04,-,-,-,-,-,  0,-, 0.0, 0.00,-,-,-,-,-,-,-, 15,2.3
